line,tipo,data_ocorrencia,endereco,latitude,longitude
367,Homicidio,04/02/2017,"AVENIDA DO IMPERADOR, 4280 VILA JACUI - 08050000 S.PAULO SP",-23.5152387,-46.4622988
371,Homicidio,11/02/2017,"AVENIDA LUIS PIRES DE MINAS, 383 SAO MATEUS - 03933070 S.PAULO SP",-23.5911162,-46.5016228
377,Homicidio,15/01/2017,"AVENIDA PAULO LINCOLN DO VALLE PONTIN, 744 TREMEMBE - 02273011 S.PAULO SP",-23.4586366,-46.5857973
378,Homicidio,15/01/2017,"AVENIDA PAULO LINCOLN DO VALLE PONTIN, 744 TREMEMBE - 02273011 S.PAULO SP",-23.4586366,-46.5857973
383,Homicidio,18/02/2017,"RUA DO BUCOLISMO, 164 BRAS - 03008040 S.PAULO SP",-23.5404831,-46.6205953
384,Homicidio,18/02/2017,"RUA DO BUCOLISMO, 164 BRAS - 03008040 S.PAULO SP",-23.5404831,-46.6205953
385,Homicidio,12/02/2017,"AVENIDA ANTONIO ESTEVAO DE CARVALHO, 28 VILA MATILDE - 03540000 S.PAULO SP",-23.5315168,-46.5210136
386,Homicidio,18/02/2017,"AVENIDA JOAQUIM DE NAZARETH, 50 PIRITUBA - 02976160 S.PAULO SP",-23.4777612,-46.7186014
390,Homicidio,03/02/2017,"ESTRADA TRES CRUZES, 100 TREMEMBE - 02285000 S.PAULO SP",-23.4292458,-46.5672101
391,Homicidio,18/02/2017,"RUA GENERAL JARDIM, 124 REPUBLICA - 01223011 S.PAULO SP",-23.5446574,-46.6479996
393,Homicidio,04/02/2017,"RODOVIA BR 381, 85 JACANA - - S.PAULO SP",-23.4536808,-46.5708429
394,Homicidio,04/02/2017,"RUA JOAO DE SIQUEIRA AFONSO, 304 LAJEADO - 08452000 S.PAULO SP",-23.538181,-46.3958388
397,Homicidio,19/02/2017,"AVENIDA CANDIDO PORTINARI, 455 JAGUARA - 05114000 S.PAULO SP",-23.5082131,-46.7515287
