"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"12151",2003,4644,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","R NOVA FRIBURGO, 155 JARDIM PENHA - 03759040 S.PAULO SP",-23.5042201,-46.500437
"12152",2003,2016,"Roubo de Veículo","25/06/2003","PELA MANHA","Nao","AV. PEDRO AMERICO, 0 VILA AMERICA - nan S.ANDRE SP",-23.663671,-46.5105271
"12153",2003,6216,"Roubo de Veículo","25/06/2003","A TARDE","Nao","AV DO PINHAL, 0 CAMILOPOLIS - nan S.ANDRE SP",-23.6235009,-46.5249079
"12154",2003,3063,"Roubo de Veículo","25/06/2003","A TARDE","Nao","EST.DO MORRO GRANDE, 0 MORRO GRANDE - nan COTIA SP",-23.6469601,-46.9637721
"12155",2003,6178,"Roubo de Veículo","25/06/2003","EM HORA INCERTA","Nao","AV BARAO DE MAUA, 3500 JD MARINGA - nan MAUA SP",-23.6653037,-46.433576
"12156",2003,4653,"Roubo de Veículo","25/06/2003","A TARDE","Nao","R BURITI ALEGRE, 236 VILA RE - nan S.PAULO SP",-23.5284056,-46.5019363
"12157",2003,5171,"Roubo de Veículo","25/06/2003","A NOITE","Nao","AV PADRE ANTONIO JOSE DOS SANTOS, 54 BROOKLIN - nan S.PAULO SP",-23.6140295,-46.6816466
"12158",2003,5060,"Roubo de Veículo","25/06/2003","A NOITE","Nao","AV BRIGADEIRO LUIS ANTONIO, 4817 JD. PAULISTA - nan S.PAULO SP",-23.5712216,-46.6526992
"12159",2003,5869,"Roubo de Veículo","25/06/2003","A NOITE","Nao","ESTRADA DOS ALVARENGAS, 10 JD TELMA - nan S.BERNARDO DO CAMPO SP",-23.736389,-46.591124
"12160",2003,4110,"Roubo de Veículo","25/06/2003","A NOITE","Nao","AC RODOVIA REGIS BITTENCOURT, 0 SAO JUDAS - nan TABOAO DA SERRA SP",-23.6181744,-46.8068867
"12161",2003,1825,"Roubo de Veículo","26/06/2003","DE MADRUGADA","Nao","RODOVIA PRESIDENTE DUTRA KM181, 0 PARATEI - 07500000 S.ISABEL SP",-23.364857,-46.224745
"12162",2003,5064,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","AV SANTO AMARO, 341 V.N.CONCEICAO- - nan S.PAULO SP",-23.5921287,-46.6724579
"12163",2003,4253,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","R IDA LEONI CLETO, 100 JDIM ORLANDINA - nan S.BERNARDO DO CAMPO SP",-23.6578859,-46.5648519
"12164",2003,4114,"Roubo de Veículo","25/06/2003","A NOITE","Nao","R MAURICIO ANTUNES FERRAZ, 69 PARQUE MARABA - 06766260 TABOAO DA SERRA SP",-23.6254173,-46.7773781
"12165",2003,4124,"Roubo de Veículo","26/06/2003","PELA MANHA","Nao","R DR NESTOR ALBERTO DE MACEDO, 13 VL. MORAES - nan S.PAULO SP",-23.6259356,-46.6198639
